step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest,isFraud
414,CASH_IN,351861.9,C1683848795,4260047.31,4611909.21,C9411273307,3932009.91,4283871.8100000005,0
286,PAYMENT,207792.16,C7118733886,1257439.59,1049647.4300000002,M1031965448,0.0,0.0,0
474,CASH_IN,447552.78,C9156205611,2963673.91,3411226.6900000004,C5624087496,1263628.24,1711181.02,0
421,CASH_OUT,484919.41,C7327811044,2794256.38,2309336.9699999997,C2205737849,2953936.49,3438855.9000000004,0
449,PAYMENT,90646.83,C8828440719,821959.29,731312.4600000001,M5512066614,0.0,0.0,0
234,CASH_IN,468828.52,C2388956788,4689263.4,5158091.92,C5412045007,4289725.69,4758554.210000001,0
386,CASH_IN,377368.11,C1195644454,4000983.99,4378352.100000001,C8184840770,2894497.64,3271865.75,0
379,CASH_OUT,493248.98,C6135981060,3255718.53,2762469.55,C3568354285,3015243.89,3508492.87,1
48,CASH_OUT,215809.6,C6715289314,26626.62,0.0,C6321910113,4075012.15,4290821.75,0
244,PAYMENT,287195.34,C7021416062,373244.28,86048.94,M7704412563,0.0,0.0,0
424,CASH_IN,331129.41,C5126066859,560950.21,892079.6199999999,C9182677871,1895623.96,2226753.37,0
246,PAYMENT,403874.47,C8318796342,412586.77,8712.300000000047,M1910792852,0.0,0.0,0
62,PAYMENT,366541.07,C8349702391,3869532.21,3502991.14,M7513300119,0.0,0.0,0
225,PAYMENT,87266.65,C7045948444,4693002.12,4605735.47,M3696204504,0.0,0.0,0
433,CASH_OUT,328609.51,C8201124666,2832662.92,2504053.41,C1904432660,4090401.5,4419011.01,1
462,CASH_OUT,337636.74,C2750315932,4515434.96,4177798.2199999997,C1487404534,4392716.19,4730352.930000001,0
133,CASH_IN,73898.29,C5589485735,4727884.05,4801782.34,C2522288210,4557433.81,4631332.1,1
68,CASH_OUT,361894.43,C7179688004,2150830.73,1788936.3,C3308636594,2980210.97,3342105.4000000004,0
33,CASH_IN,281492.49,C6142102402,2019475.02,2300967.51,C9827980419,3072650.28,3354142.7699999996,0
304,PAYMENT,427856.36,C9252816034,4405768.5,3977912.14,M4740677951,0.0,0.0,0
461,PAYMENT,405337.76,C5158046999,2888567.32,2483229.5599999996,M1482139692,0.0,0.0,0
346,CASH_OUT,161064.93,C6981131525,3234669.84,3073604.9099999997,C5662912849,1479348.43,1640413.3599999999,0
287,CASH_OUT,497506.9,C6151220863,3825806.43,3328299.5300000003,C6829064468,3730012.8,4227519.7,0
164,CASH_IN,108916.8,C2885916630,1203960.89,1312877.69,C2096233446,4438736.26,4547653.06,0
436,CASH_IN,470998.21,C5325178127,2687309.09,3158307.3,C6251155886,2690424.95,3161423.16,0
340,CASH_IN,127371.31,C6068773602,4049122.94,4176494.25,C8066841449,1413351.3,1540722.61,0
246,PAYMENT,331753.65,C4114638878,194068.34,0.0,M8545146177,0.0,0.0,0
243,PAYMENT,195988.04,C6378300772,4559753.27,4363765.2299999995,M1996872543,0.0,0.0,1
291,CASH_IN,182647.95,C8701968090,1630214.07,1812862.02,C4874282765,393847.09,576495.04,0
382,PAYMENT,160979.85,C5840954280,3115948.28,2954968.4299999997,M5361550641,0.0,0.0,0
15,CASH_IN,330360.01,C1312302895,517086.61,847446.62,C6781551169,2582486.68,2912846.6900000004,0
78,CASH_OUT,250283.59,C2752030340,4506048.02,4255764.43,C5914978483,609303.64,859587.23,0
301,CASH_OUT,363144.95,C7655907131,4078849.37,3715704.42,C5153282335,2137418.51,2500563.46,0
184,PAYMENT,465038.68,C4140943549,2088086.7,1623048.02,M1888069513,0.0,0.0,0
287,CASH_OUT,475239.12,C3815848807,1034525.49,559286.37,C2751416467,4065569.91,4540809.03,1
492,CASH_IN,385548.46,C7000513952,2891854.79,3277403.25,C9424646067,4391524.33,4777072.79,0
410,PAYMENT,304038.67,C2860343562,4311395.05,4007356.38,M4628748980,0.0,0.0,0
158,CASH_OUT,333774.73,C3675682089,2072101.9,1738327.17,C2581971084,3527974.26,3861748.9899999998,0
375,CASH_IN,256450.28,C9665699280,303557.63,560007.91,C5412614715,4459447.7,4715897.98,0
14,CASH_IN,452494.7,C2146933757,4532480.66,4984975.36,C3018852611,3251847.94,3704342.64,0
247,PAYMENT,425047.93,C2435392878,2139202.83,1714154.9000000001,M9382809907,0.0,0.0,0
358,CASH_OUT,206156.64,C3271897624,913001.98,706845.34,C4190148066,2689201.7,2895358.3400000003,0
205,CASH_IN,357521.25,C9236450666,3619571.3,3977092.55,C9748507032,4871609.0,5229130.25,0
221,CASH_IN,46662.23,C9174678171,3357207.08,3403869.31,C3374096450,3179517.49,3226179.72,0
422,PAYMENT,412357.38,C6167244626,553584.57,141227.18999999994,M1169303026,0.0,0.0,1
342,CASH_OUT,463387.18,C5165597450,498869.02,35481.840000000026,C4621421170,4341896.17,4805283.35,0
361,CASH_IN,436898.2,C3963335958,3648969.15,4085867.35,C5555456586,653760.1,1090658.3,0
334,PAYMENT,192481.62,C5196333512,21083.17,0.0,M1377404550,0.0,0.0,0
478,PAYMENT,222585.35,C7565494977,891264.49,668679.14,M2957110170,0.0,0.0,0
325,CASH_IN,173827.6,C7064804848,2879658.18,3053485.7800000003,C9382389953,4131460.67,4305288.27,0
332,CASH_OUT,319450.77,C5434198072,3001887.38,2682436.61,C9269577308,1413522.88,1732973.65,1
413,CASH_OUT,385793.66,C3040273646,4460627.27,4074833.6099999994,C5519067888,4323194.37,4708988.03,0
472,CASH_IN,184443.8,C3854064265,4997427.48,5181871.28,C9896782643,2337040.73,2521484.53,0
390,CASH_IN,302022.42,C2337444582,3815203.01,4117225.4299999997,C5769672202,4511103.41,4813125.83,1
445,CASH_OUT,441670.46,C5810526176,1028064.06,586393.6000000001,C1019815079,2174390.67,2616061.13,0
315,PAYMENT,332136.28,C2887165041,27427.32,0.0,M5981925899,0.0,0.0,0
296,CASH_OUT,338036.28,C2011719148,1016883.68,678847.4,C6687582905,4202273.92,4540310.2,1
226,CASH_IN,257008.34,C1746786554,926689.38,1183697.72,C5086925227,2974771.02,3231779.36,0
192,CASH_IN,430610.26,C4930607959,2597197.37,3027807.63,C3007098459,4007575.02,4438185.28,0
26,CASH_OUT,72259.46,C7091625162,2054365.63,1982106.17,C8049300924,3197210.5,3269469.96,0
409,PAYMENT,195365.4,C4364930660,2338325.3,2142959.9,M8063133581,0.0,0.0,0
349,CASH_OUT,316857.94,C8569328303,2161947.49,1845089.5500000003,C7747201747,3962959.81,4279817.75,0
166,CASH_OUT,486177.33,C8326189511,4464474.11,3978296.7800000003,C1604404702,4221267.78,4707445.11,0
66,CASH_OUT,489017.48,C1644556357,1635612.45,1146594.97,C3298763175,3585411.01,4074428.4899999998,1
95,CASH_OUT,80544.69,C5491687727,2361134.5,2280589.81,C5906539824,929652.58,1010197.27,1
12,PAYMENT,182477.98,C4756060799,4394260.28,4211782.3,M9541144118,0.0,0.0,1
342,PAYMENT,426190.54,C4270641417,1853786.97,1427596.43,M7451214742,0.0,0.0,0
311,CASH_OUT,312337.7,C5256464083,4361840.63,4049502.9299999997,C8284655528,2434547.52,2746885.22,0
371,CASH_IN,375082.08,C6251667554,227321.08,602403.16,C5847065209,2546909.73,2921991.81,0
390,PAYMENT,335243.86,C1727227822,2685970.13,2350726.27,M9408646856,0.0,0.0,1
189,CASH_IN,311779.21,C6589900967,1409442.27,1721221.48,C6473073940,4392921.01,4704700.22,0
486,CASH_OUT,1962.41,C7103314369,2823113.19,2821150.78,C3335324072,4852887.11,4854849.5200000005,0
500,PAYMENT,168097.05,C5385800850,3590367.67,3422270.62,M7452892799,0.0,0.0,0
76,CASH_IN,484148.78,C4432497759,2082636.72,2566785.5,C4211505832,4816285.8,5300434.58,0
500,CASH_OUT,448563.58,C3747103271,1541840.81,1093277.23,C2429426327,872115.92,1320679.5,0
99,CASH_IN,364569.6,C5436685591,2271151.17,2635720.77,C9446254360,838589.77,1203159.37,0
120,CASH_IN,273790.24,C4123408161,4085989.43,4359779.67,C5361004478,1068921.44,1342711.68,0
13,PAYMENT,61145.07,C8241297386,4481092.83,4419947.76,M6378281659,0.0,0.0,0
318,CASH_OUT,229040.03,C1011602988,644757.18,415717.15,C4973954321,4053263.95,4282303.98,0
327,PAYMENT,320963.45,C4292202496,1127832.85,806869.4000000001,M2707066608,0.0,0.0,1
90,CASH_OUT,452301.9,C2560104438,761785.63,309483.73,C2663481133,1338522.31,1790824.21,1
261,CASH_OUT,104303.55,C5373565361,1488029.66,1383726.1099999999,C6540714623,1751657.06,1855960.61,1
3,PAYMENT,420357.48,C6363799179,304943.69,0.0,M4912477444,0.0,0.0,1
257,CASH_IN,110148.92,C6328015005,3741208.57,3851357.4899999998,C9730199856,4720414.92,4830563.84,0
454,PAYMENT,376079.9,C9763621108,2525380.75,2149300.85,M9128925499,0.0,0.0,1
124,PAYMENT,356221.06,C1901058567,3123243.07,2767022.01,M3029470212,0.0,0.0,0
309,CASH_IN,358056.62,C2327565752,1821384.6,2179441.22,C6475387001,785310.86,1143367.48,0
283,PAYMENT,287988.36,C3226911837,4786261.36,4498273.0,M2706878586,0.0,0.0,0
308,CASH_IN,410900.71,C1061884809,4002660.34,4413561.05,C4479309285,2807072.45,3217973.16,0
453,CASH_OUT,372340.04,C8929020971,4500121.98,4127781.9400000004,C2849452536,3584634.89,3956974.93,0
408,CASH_IN,338170.1,C3077668394,3697419.73,4035589.83,C8120758898,4769713.21,5107883.31,0
290,CASH_IN,152426.72,C5454887185,4211052.31,4363479.029999999,C6176074589,1152416.5,1304843.22,0
485,CASH_OUT,202757.13,C5417353930,1633933.0,1431175.87,C1564655568,4294375.01,4497132.14,0
440,CASH_OUT,131445.39,C3729123989,2416583.1,2285137.71,C4695033588,3206022.45,3337467.8400000003,0
285,CASH_IN,363752.59,C5526337899,2672982.76,3036735.3499999996,C6916240570,4743092.85,5106845.4399999995,0
103,PAYMENT,63437.05,C9406988744,105081.92,41644.869999999995,M7849010583,0.0,0.0,0
228,CASH_IN,299825.26,C7768618029,4442175.87,4742001.13,C9410902761,4326174.04,4625999.3,0
235,CASH_IN,393299.56,C4257105303,64416.24,457715.8,C9139240571,1244747.99,1638047.55,0
210,CASH_IN,416569.71,C4438481740,4085587.89,4502157.600000001,C4337641994,3537446.58,3954016.29,1
131,CASH_IN,10099.55,C8810591142,1657719.87,1667819.4200000002,C4169550391,539410.16,549509.7100000001,1
118,CASH_OUT,468398.16,C6480163721,770047.12,301648.96,C1653439668,2372944.77,2841342.93,0
298,PAYMENT,361028.73,C4709860768,52463.71,0.0,M4459967487,0.0,0.0,0
44,PAYMENT,226293.17,C2998874337,4624720.66,4398427.49,M6021163665,0.0,0.0,0
343,CASH_IN,108745.44,C9756740165,2995952.4,3104697.84,C8484417669,1925479.21,2034224.65,0
166,CASH_OUT,380277.82,C8306365266,4986003.86,4605726.04,C8971488413,794862.64,1175140.46,0
392,PAYMENT,22589.79,C5656314538,1249003.04,1226413.25,M9893614964,0.0,0.0,0
276,CASH_IN,414617.08,C3906293432,4887612.46,5302229.54,C4755259848,4054546.56,4469163.64,0
282,CASH_OUT,440932.66,C1265514877,3941770.5,3500837.84,C7904119662,3687513.51,4128446.17,0
408,CASH_OUT,192869.88,C2082169463,3987782.88,3794913.0,C7953151570,1702655.02,1895524.9,0
432,CASH_IN,165490.21,C4333126348,2916233.43,3081723.64,C6565813601,4130350.71,4295840.92,0
438,PAYMENT,323185.95,C8635326274,4507263.51,4184077.5599999996,M9080536769,0.0,0.0,0
432,CASH_OUT,68551.65,C7023701495,2912816.65,2844265.0,C2296493727,1014876.76,1083428.41,0
223,CASH_IN,317295.34,C3557935482,765292.8,1082588.1400000001,C5046667480,2763204.69,3080500.03,0
88,PAYMENT,229576.02,C3784537610,755597.32,526021.2999999999,M6183979590,0.0,0.0,0
5,CASH_OUT,121405.59,C7240578138,4995420.53,4874014.94,C4241019873,1031870.2,1153275.79,0
82,CASH_IN,134720.32,C9447996412,3540379.28,3675099.5999999996,C1902815351,3000763.03,3135483.3499999996,1
136,CASH_IN,155721.21,C7637875135,4709715.89,4865437.1,C9086118422,3715457.99,3871179.2,1
305,PAYMENT,299341.59,C4548170108,2925681.07,2626339.48,M4248499704,0.0,0.0,1
312,CASH_OUT,348997.79,C8024015207,3383060.62,3034062.83,C4482861450,4398254.96,4747252.75,0
59,CASH_OUT,52506.7,C6613725526,1420583.1,1368076.4000000001,C5797577280,1791062.75,1843569.45,0
429,CASH_OUT,98478.26,C1232367786,4108663.27,4010185.0100000002,C2091694123,305083.15,403561.41000000003,0
78,CASH_OUT,468262.45,C3406482291,3042213.33,2573950.88,C7648349128,2283800.75,2752063.2,1
123,PAYMENT,400853.74,C6431692931,3926477.2,3525623.46,M2572787088,0.0,0.0,0
251,CASH_OUT,364722.91,C2032910871,4116183.01,3751460.0999999996,C7653430552,4283429.46,4648152.37,0
472,CASH_IN,64061.65,C2850849749,3528678.18,3592739.83,C9666721403,2352986.29,2417047.94,0
83,CASH_IN,92580.2,C7763322314,3408613.81,3501194.0100000002,C7901328812,556301.69,648881.8899999999,0
266,CASH_OUT,136451.16,C9707435700,1897804.12,1761352.9600000002,C2506103532,3062863.0,3199314.16,0
112,CASH_OUT,297698.58,C8645925442,1700089.6,1402391.02,C4655499506,4143932.53,4441631.109999999,0
275,PAYMENT,224961.7,C8078408826,2569018.96,2344057.26,M9212939233,0.0,0.0,0
212,CASH_OUT,112911.88,C6604549927,4044178.96,3931267.08,C1484772873,1184334.11,1297245.9900000002,1
449,PAYMENT,59171.68,C5468398581,1059609.13,1000437.4499999998,M4698792377,0.0,0.0,0
413,CASH_OUT,294275.53,C4281742789,2238923.63,1944648.0999999999,C3981472709,1487124.51,1781400.04,0
126,CASH_OUT,186654.24,C2864284198,1289435.17,1102780.93,C1126676667,2387696.62,2574350.8600000003,0
432,CASH_IN,465312.3,C6441716202,4463293.0,4928605.3,C6199390197,1042147.87,1507460.17,0
308,PAYMENT,42093.02,C3305236128,4596292.5,4554199.48,M9930867930,0.0,0.0,1
63,CASH_IN,60403.0,C9757400910,1613944.76,1674347.76,C9507586237,2727306.18,2787709.18,0
64,CASH_IN,143956.0,C9686794032,3075800.27,3219756.27,C9691135339,1542071.75,1686027.75,0
51,PAYMENT,287791.58,C5896269688,2731605.58,2443814.0,M6894356336,0.0,0.0,0
257,CASH_IN,195037.02,C3307720652,1730791.54,1925828.56,C7407660955,3320939.09,3515976.11,1
217,CASH_IN,11497.62,C4023203697,908607.7,920105.32,C6686210681,3503904.46,3515402.08,0
203,CASH_IN,12712.66,C8569914833,309721.57,322434.23,C4817655498,4412755.04,4425467.7,0
267,CASH_IN,316023.18,C6096253108,4299083.8,4615106.9799999995,C8975336517,4771594.22,5087617.399999999,1
328,CASH_IN,102601.11,C7076616021,2116127.86,2218728.9699999997,C5845002225,1408446.75,1511047.86,0
10,PAYMENT,164827.52,C7196241446,471388.69,306561.17000000004,M8009441677,0.0,0.0,1
65,CASH_IN,367631.15,C2217291595,2957759.88,3325391.03,C4991833921,2626910.97,2994542.12,0
5,PAYMENT,298134.21,C6356154726,4917868.91,4619734.7,M5955120104,0.0,0.0,0
289,PAYMENT,73530.97,C4366425120,2449268.14,2375737.17,M9357852572,0.0,0.0,1
71,PAYMENT,325092.14,C5751503823,4650051.93,4324959.79,M1592809029,0.0,0.0,1
115,CASH_IN,143621.26,C3769659598,2778838.36,2922459.62,C8237138503,2495418.33,2639039.59,1
371,PAYMENT,2955.14,C5897529501,3107689.0,3104733.86,M3263157877,0.0,0.0,0
14,CASH_OUT,91411.71,C4393810403,4272747.49,4181335.7800000003,C4683190568,3104412.83,3195824.54,0
306,PAYMENT,110746.46,C9402428295,420189.26,309442.8,M2206088646,0.0,0.0,0
288,CASH_OUT,333857.98,C6704837704,1591716.68,1257858.7,C1943894331,4767738.66,5101596.640000001,0
311,CASH_OUT,157186.47,C1665320909,312172.79,154986.31999999998,C9364203822,1534978.67,1692165.14,0
398,PAYMENT,438260.9,C9178745683,960718.1,522457.19999999995,M3041380594,0.0,0.0,0
473,CASH_OUT,259663.6,C9988208758,1017645.07,757981.47,C8364545286,3073016.25,3332679.85,1
94,CASH_IN,261059.57,C5309388022,4995729.59,5256789.16,C2965844379,264106.39,525165.96,0
353,CASH_IN,88113.7,C2117085157,3868459.01,3956572.71,C7901831092,3857351.28,3945464.98,0
5,CASH_IN,14846.41,C9621102131,2702625.59,2717472.0,C7625257754,1732041.07,1746887.48,0
432,CASH_IN,489385.22,C1635604911,1776371.61,2265756.83,C9897390005,1484292.04,1973677.26,0
225,PAYMENT,143479.88,C2323721279,480633.01,337153.13,M1666060981,0.0,0.0,0
308,CASH_OUT,360935.16,C6363807544,4766711.64,4405776.4799999995,C1273374430,1994427.27,2355362.43,0
483,CASH_IN,413445.97,C9229849185,4325658.58,4739104.55,C3685797506,1995731.8,2409177.77,0
205,CASH_IN,325986.66,C5676838059,4388214.78,4714201.44,C6641070284,1355891.08,1681877.74,0
332,PAYMENT,174002.1,C7677487875,2612850.56,2438848.46,M9701461113,0.0,0.0,0
317,CASH_IN,236104.97,C6005442076,4725054.07,4961159.04,C1154520683,2853759.62,3089864.5900000003,0
278,CASH_IN,290158.57,C9557721863,3216850.38,3507008.9499999997,C2052339211,4947811.95,5237970.5200000005,1
33,CASH_IN,419888.35,C5652036339,1062073.86,1481962.21,C1965453522,966547.52,1386435.87,1
267,CASH_OUT,291069.92,C7231843407,1643626.21,1352556.29,C4882701627,2892599.79,3183669.71,1
348,PAYMENT,121726.21,C1812128384,4096719.43,3974993.22,M4430891310,0.0,0.0,0
353,CASH_IN,259136.68,C7734565948,4307131.47,4566268.149999999,C1292295447,2868568.39,3127705.0700000003,0
17,CASH_OUT,153324.68,C3331488849,4183755.69,4030431.01,C5924135431,905180.34,1058505.02,1
492,CASH_OUT,148610.88,C7390264881,716167.32,567556.44,C8257402862,4717806.44,4866417.32,0
283,PAYMENT,223553.65,C1514225818,1750597.54,1527043.8900000001,M3582266885,0.0,0.0,0
328,PAYMENT,297634.35,C3210965163,3655167.94,3357533.59,M4960113050,0.0,0.0,1
91,PAYMENT,487270.56,C1462528277,2043528.86,1556258.3,M7004739756,0.0,0.0,0
94,CASH_OUT,85969.08,C1184067707,4555680.17,4469711.09,C2467386245,3558220.37,3644189.45,0
433,PAYMENT,386379.58,C3622525742,2143393.49,1757013.9100000001,M4887699343,0.0,0.0,0
177,PAYMENT,116409.77,C4027734173,2723351.69,2606941.92,M8589696222,0.0,0.0,1
222,PAYMENT,283528.79,C1688603091,732550.43,449021.6400000001,M1994589961,0.0,0.0,0
111,CASH_OUT,405369.81,C6965429202,2227471.24,1822101.4300000002,C8096571837,3344952.97,3750322.7800000003,1
405,CASH_OUT,242099.93,C7258657052,2335368.16,2093268.2300000002,C8260675529,3956452.75,4198552.68,0
10,PAYMENT,439607.54,C5686115652,3120985.46,2681377.92,M5464056106,0.0,0.0,0
288,CASH_OUT,257158.24,C4035249354,1869094.41,1611936.17,C7741661112,3995782.57,4252940.81,0
391,CASH_IN,13079.65,C5633831800,1516998.17,1530077.8199999998,C3123020882,4757392.44,4770472.090000001,0
91,CASH_OUT,265239.26,C8139012069,2682344.91,2417105.6500000004,C4900123796,1947880.51,2213119.77,0
141,CASH_IN,14848.46,C3737819563,661852.02,676700.48,C9442933781,4728197.89,4743046.35,0
137,CASH_OUT,369820.31,C9888006625,4164732.6,3794912.29,C8168981335,2505436.66,2875256.97,0
80,PAYMENT,361688.68,C9389746019,931085.56,569396.8800000001,M8965063536,0.0,0.0,0
19,PAYMENT,84247.71,C4343267039,1186933.75,1102686.04,M2708320207,0.0,0.0,0
33,PAYMENT,473636.58,C6626191817,1286293.62,812657.04,M7853688077,0.0,0.0,0
316,CASH_OUT,109558.37,C4424630738,2686501.97,2576943.6,C8744566698,4302949.96,4412508.33,1
435,PAYMENT,234726.38,C1924643099,4177810.47,3943084.0900000003,M7812183980,0.0,0.0,1
108,PAYMENT,438746.25,C8583029051,3896062.91,3457316.66,M5671262052,0.0,0.0,0
436,CASH_IN,198079.46,C3178961413,3093160.5,3291239.96,C1423382432,2760121.74,2958201.2,1
159,CASH_IN,339539.49,C3320297565,149017.27,488556.76,C3657923530,295893.96,635433.45,0
287,CASH_IN,116335.18,C7893851326,4898761.22,5015096.399999999,C5767648489,4594151.31,4710486.489999999,0
419,CASH_IN,303878.92,C2713781568,3633652.46,3937531.38,C5732834652,1559046.05,1862924.97,0
219,CASH_IN,261112.12,C1065609825,368260.65,629372.77,C7014102128,2320625.22,2581737.3400000003,0
279,PAYMENT,438561.88,C9644581183,2366518.91,1927957.0300000003,M1965706944,0.0,0.0,1
485,CASH_OUT,398067.28,C2113894305,1434747.61,1036680.3300000001,C3924494002,22008.34,420075.62000000005,0
492,CASH_IN,195448.16,C1026436395,1337965.41,1533413.5699999998,C8424113245,3343354.84,3538803.0,1
253,PAYMENT,389816.03,C9955241243,2238707.93,1848891.9000000001,M6058368638,0.0,0.0,1
478,CASH_OUT,496160.13,C5762028358,597974.91,101814.78000000003,C1294281946,3116949.99,3613110.12,0
451,CASH_IN,83968.54,C7729562283,2509442.72,2593411.2600000002,C5559080132,4262451.77,4346420.31,0
